web-scraper-order,web-scraper-start-url,price,location,address,type,nobeds,nobath,sqft_price,size,pagination,pagination-href
"1647922243-10743","https://www.edgeprop.my/buy/johor/all-residential?page=370","RM 590,000EdgeProp Only","Sapphire 8 @ Bandar Seri Alam","Jalan Persiaran Seri Alam, Masai, Johor","Landed","4 beds","3 bath","RM 383/sqft","1,540 sqft","",""
"1647920239-3883","https://www.edgeprop.my/buy/johor/all-residential?page=713","RM 2,700,000","East Ledang","Iskandar Puteri (Nusajaya), Johor","Landed","5 beds","6 bath","RM -","- sqft","",""
"1647923977-15946","https://www.edgeprop.my/buy/johor/all-residential?page=110","RM 500,000EdgeProp Only","Paradiso Nuova Medini","Lebuhraya Persisiran Pantai JB-Nusajaya, Iskandar Puteri (Nusajaya), Johor","Non Landed","2 beds","1 bath","RM 718/sqft","696 sqft","",""
"1647923667-14891","https://www.edgeprop.my/buy/johor/all-residential?page=163","RM 528,000EdgeProp Only","Bandar Putra Kulai","Bandar Putra Kulai 81000 Kulai Johor, Kulai, Johor","Landed","4 beds","3 bath","RM 342/sqft","1,540 sqft","",""
"1647924080-16292","https://www.edgeprop.my/buy/johor/all-residential?page=93","RM 600,000EdgeProp Only","Taman Setia Indah","Jalan Setia, Johor Bahru, Johor","Landed","5 beds","4 bath","RM 428/sqft","1,400 sqft","",""
"1647919732-2139","https://www.edgeprop.my/buy/johor/all-residential?page=800","RM 900,000EdgeProp Only","Taman Nusa Sentral","Jalan Sentral, Iskandar Puteri (Nusajaya), Johor","Landed","7 beds","6 bath","RM 480/sqft","1,875 sqft","",""
"1647924395-17473","https://www.edgeprop.my/buy/johor/all-residential?page=34","RM 390,000EdgeProp Only","Taman Nesa","Off Jalan Gelang Patah, Skudai, Johor","Landed","3 beds","2 bath","RM -","- sqft","",""
"1647921265-7574","https://www.edgeprop.my/buy/johor/all-residential?page=528","RM 698,000EdgeProp Only","Jalan Harimau Garang","Johor Bharu, Johor","Landed","4 beds","3 bath","RM -","- sqft","",""
"1647920157-3575","https://www.edgeprop.my/buy/johor/all-residential?page=728","RM 350,000EdgeProp Only","Molek Regency","Persiaran Bumi Hijau, Johor Bahru, Johor","Non Landed","Studio","1 bath","1 carpark","RM 546/sqft","",""
"1647924115-16383","https://www.edgeprop.my/buy/johor/all-residential?page=88","RM 368,000EdgeProp Only","Taman Johor Jaya","Off Lebuhraya Pasir Gudang, Johor Bahru, Johor","Landed","3 beds","2 bath","RM 238/sqft","1,540 sqft","",""
"1647919398-1016","https://www.edgeprop.my/buy/johor/all-residential?page=856","RM 260,000","Taman Johor Jaya","Off Lebuhraya Pasir Gudang, Johor Bahru, Johor","Landed","3 beds","2 bath","RM 343/sqft","756 sqft","",""
"1647920015-3110","https://www.edgeprop.my/buy/johor/all-residential?page=752","RM 220,000","Austin Regency","Johor Bahru, Johor","Non Landed","Studio","1 bath","RM 448/sqft","490 sqft","",""
"1647920356-4324","https://www.edgeprop.my/buy/johor/all-residential?page=691","RM 799,000","Taman Sutera Utama","Jalan Sutera Pulai 2/1, Skudai, Johor","Landed","5 beds","4 bath","RM -","- sqft","",""
"1647919524-1483","https://www.edgeprop.my/buy/johor/all-residential?page=833","RM 600,000","Setia Eco Gardens","Iskander, Nusajaya, Gelang Patah, Johor","Landed","4 beds","4 bath","RM 400/sqft","1,500 sqft","",""
"1647919685-1981","https://www.edgeprop.my/buy/johor/all-residential?page=808","RM 448,000","Taman Nusa Bayu","Taman Nusa Bayu Jalan Bayu 7, Iskandar Puteri (Nusajaya), Johor","Landed","4 beds","3 bath","RM 373/sqft","1,200 sqft","",""
"1647923416-14100","https://www.edgeprop.my/buy/johor/all-residential?page=202","RM 1,400,000","Taman Kebun Teh","Off Jalan Kebun The, Johor Bahru, Johor","Landed","4 beds","2 bath","RM 175/sqft","7,971 sqft","",""
"1647923058-13143","https://www.edgeprop.my/buy/johor/all-residential?page=250","RM 368,000EdgeProp Only","Taman Lagenda","Kulai, Johor","Landed","4 beds","2 bath","2 carpark","RM -","",""
"1647922312-10995","https://www.edgeprop.my/buy/johor/all-residential?page=357","RM 988,000","Taman Sutera Utama","Jalan Sutera Pulai 2/1, Skudai, Johor","Landed","4 beds","5 bath","RM -","- sqft","",""
"1647921615-8731","https://www.edgeprop.my/buy/johor/all-residential?page=471","RM 850,000","Taman Desa Tebrau","Off Jalan Kota Tinggi, Johor Bahru, Johor","Landed","4 + 1 beds","5 bath","RM 482/sqft","1,760 sqft","",""
"1647920439-4616","https://www.edgeprop.my/buy/johor/all-residential?page=676","RM 438,000","Taman Timur","Skudai, Johor","Landed","3 beds","2 bath","RM 405/sqft","1,080 sqft","",""
"1647923109-13250","https://www.edgeprop.my/buy/johor/all-residential?page=245","RM 530,000EdgeProp Only","Taman Nusa Bayu","Iskandar Puteri (Nusajaya), Johor","Landed","3 beds","3 bath","RM 378/sqft","1,400 sqft","",""
"1647922493-11645","https://www.edgeprop.my/buy/johor/all-residential?page=325","RM 90,000EdgeProp Only","Flat Temenggong, Bandar Indahpura","Persiaran Indahpura 6, Kulai, Johor","Non Landed","3 beds","2 bath","RM 157/sqft","571 sqft","",""
"1647923831-15455","https://www.edgeprop.my/buy/johor/all-residential?page=134","RM 1,550,000EdgeProp Only","Adda Heights","Jalan Adda 5, Johor Bahru, Johor","Landed","5 beds","5 bath","5 carpark","RM 382/sqft","",""
